"transect_section","code_of_piece","leaves","bark","diameter_width.mm","pen.hit.mm","crossmassCWD.kgm","wet.density.gm3","dry.density.gm3","dry.density.kgm3","norm_orientation_degrees","slice.mass.g","weight.avg.thickness.m","fresh.mass.g","final.dry.mass.g","uniqid"
"02,15","C1",0,0,298,25,6,282877.9483,85330.1,85.3301,85,4380,0.222,788,237.7,"longCWD001"
"02,19","C1",0,0,284,15.38461538,10.7,242862.493,168560.7,168.5607,76,1000,0.065,237.3,164.7,"longCWD002"
"05,03","C1",0,0,1228,6.05,84.9,240382.8588,71703.14282,71.70314282,42,19075,0.067,1558.9,465,"longCWD003"
"05,03","C2",0,0,275,6.05,8.6,347948.9519,144935.1273,144.9351273,42,930,0.045,266,110.8,"longCWD004"
"05,04","C1",0,0,427,11.11111111,16.1,479239.497,112630,112.63,65,3500,0.051,852.7,200.4,"longCWD005"
"05,09","C1",0,0,488,8.9,30.1,748512.1894,160866.5278,160.8665278,120,6300,0.045,953.4,204.9,"longCWD006"
"05,10","C1",0,1,212,7.3,4.2,526119.1089,118052.3428,118.0523428,90,650,0.035,210.8,47.3,"longCWD007"
"05,14","C1",0,1,211,7.35,14.6,904222.1098,418096.4301,418.0964301,120,2150,0.068,638,295,"longCWD008"
"05,15","C1",0,0,410,6.05,36.4,570986.0467,275816.3519,275.8163519,135,3920,0.052,914.6,441.8,"longCWD009"
"05,22","C1",0,0,402,3.75,9,512119.999,71157.58924,71.15758924,100,4225,0.065,1574.7,218.8,"longCWD010"
"05,24","C1",0,0,556,13.33333333,94.1,578351.1524,387423.6,387.4236,40,15025,0.107,903.6,605.3,"longCWD011"
"08,05","C1",0,0,392,3.6,27.2,505682.0471,225315.678,225.315678,145,4150,0.068,1018.7,453.9,"longCWD012"
"08,06","C1",0,1,456,1.8,98.1,1140920.8,600463.5484,600.4635484,110,9130,0.049,1424.1,749.5,"longCWD013"
"08,07","C1",0,1,416,0.55,6.7,82694.64026,49638.89502,49.63889502,125,680,0.0605,523.6,314.3,"longCWD014"
"08,10","C2",0,0,414,2.5,44,601704.8756,326900.2679,326.9002679,130,2500,0.030865,877.8,476.9,"longCWD015"
"08,10","C3",0,0,345,1,18,341717.8261,192741.7896,192.7417896,100,1150,0.036,475.5,268.2,"longCWD016"
"08,11","C1",0,1,274,1.2,35.2,848325.2465,597006.5548,597.0065548,72,1780,0.035585,680.5,478.9,"longCWD017"
"08,15","C1",0,1,284,2.7,27.8,685613.481,438650.3159,438.6503159,100,1820,0.041905,790.1,505.5,"longCWD018"
"08,16","C1",0,0,294,11.11111111,18.1,512852.3704,266849.4,266.8494,70,1550,0.04452,629.8,327.7,"longCWD019"
"08,16","C2",0,1,237,3.05,17.7,750677.2287,401992.6439,401.9926439,110,1550,0.046805,481.6,257.9,"longCWD020"
"08,17","C1",0,0,348,2.2,26.3,419187.1624,276392.3979,276.3923979,125,2100,0.05267,788.5,519.9,"longCWD021"
"08,18","C1",0,0,217,200,2.6,368713.9692,70199.7,70.1997,90,600,0.044,222.7,42.4,"longCWD022"
"08,19","C1",0,0,247,0.85,25.8,765222.9902,539300.0121,539.3000121,120,1430,0.039,388.5,273.8,"longCWD023"
"08,22","C1",0,0,213,3.2,15.5,732107.2252,434983.4306,434.9834306,30,1400,0.053666667,403.6,239.8,"longCWD024"
"11,03","C1",0,0,270,20,6.5,639417.7628,113284.9,113.2849,90,2400,0.065555556,791.9,140.3,"longCWD025"
"11,04","C1",0,0,403,6.05,14.6,481949.8239,114715.115,114.715115,60,3750,0.061,592.8,141.1,"longCWD026"
"11,04","C2",0,0,349,4.8,16.3,410928.7102,170505.5832,170.5055832,110,2280,0.058,440.8,182.9,"longCWD027"
"11,05","C1",0,0,427,4.6,10.6,274050.1609,73924.89889,73.92489889,55,2250,0.057333333,519,140,"longCWD028"
"11,10","C1",0,0,606,8.9,45.6,461606.8794,158028.6024,158.0286024,30,5725,0.043,406.9,139.3,"longCWD029"
"11,14","C1",0,0,267,7.5,11.2,562598.4308,200816.3843,200.8163843,122,1575,0.05,432,154.2,"longCWD030"
"11,17","C1",0,0,614,200,7.4,139842.6493,24997.1,24.9971,120,3975,0.096,613.7,109.7,"longCWD031"
"11,18","C1",0,0,213,3,12.1,1052404.136,340446.6512,340.4466512,120,1950,0.052,501.4,162.2,"longCWD032"
"11,18","C2",0,0,493,8.1,14,400309.4113,73417.9341,73.4179341,120,4050,0.053,694.1,127.3,"longCWD033"
"11,21","C1",0,0,307,3.25,11.8,394022.056,159352.4419,159.3524419,102,1050,0.036,438.4,177.3,"longCWD034"
"11,22","C1",0,0,608,10.52631579,37.1,323199.7665,127835,127.835,140,6850,0.073,630.8,249.5,"longCWD035"
"11,23","C1",0,1,243,1.8,17.2,771571.7092,370829.2338,370.8292338,80,990,0.027666667,325,156.2,"longCWD036"
"14,07","C1",0,0,272,2.2,7.9,249307.7292,135913.9465,135.9139465,55,670,0.04625,314.4,171.4,"longCWD037"
"14,07","C2",0,0,480,9.5,8.4,88358.75984,46291.85322,46.29185322,60,970,0.060666667,338.8,177.5,"longCWD038"
"14,11","C1",0,1,260,5.25,18.9,692763.8537,356548.6466,356.5486466,90,1790,0.048666667,388.4,199.9,"longCWD039"
"14,12","C1",0,0,306,NA,6.2,233394.5283,84522,84.522,10,1150,0.067,517.2,187.3,"longCWD040"
"14,13","C1",0,0,204,7.3,9.4,692250.0158,288312.371,288.312371,96,560,0.02475,184.4,76.8,"longCWD041"
"14,14","C1",0,0,208,3.1,2.7,186589.4983,78530.57729,78.53057729,92,410,0.064666667,176.3,74.2,"longCWD042"
"14,16","C1",0,0,247,0.9,16.5,504542.6309,343843.6261,343.8436261,48,1100,0.0455,521.5,355.4,"longCWD043"
"14,22","C1",0,1,379,3,35.7,671016.6658,316232.1336,316.2321336,129,2025,0.02675,523.9,246.9,"longCWD044"
"17,00","C1",0,1,232,1.55,19.4,1030408.929,458197.4252,458.1974252,1,2720,0.062444444,770,342.4,"longCWD045"
"17,01","C1",0,0,242,6.6,7.8,610517.9501,168981.4996,168.9814996,172,1610,0.057333333,475.1,131.5,"longCWD046"
"17,05","C1",0,0,201,1.1,4.3,320679.7294,134174.4756,134.1744756,72,580,0.057,234.7,98.2,"longCWD047"
"17,06","C1",0,0,327,1.55,6.3,219923.5069,74642.61416,74.64261416,67,1180,0.063888889,488.8,165.9,"longCWD048"
"17,09","C1",0,0,273,2.2,35,972543.2229,597740.7581,597.7407581,97,3150,0.055333333,920.9,566,"longCWD049"
"17,10","C1",0,1,232,2.9,28.4,1357420.37,672409.9215,672.4099215,22,2850,0.049666667,711,352.2,"longCWD050"
"17,10","C2",0,1,256,2.8,19.1,758170.1483,370242.6081,370.2426081,45,1600,0.041,930.3,454.3,"longCWD051"
"17,12","C1",0,1,378,2.55,36.5,623997.9567,325045.4386,325.0454386,120,3050,0.043555556,810.7,422.3,"longCWD052"
"17,18","C1",0,0,357,1.8,17.6,407763.1437,176122.7403,176.1227403,48,2000,0.049,622.1,268.7,"longCWD053"
"17,18","C2",0,0,320,4.15,27.5,722938.0229,341918.1757,341.9181757,80,2660,0.04575,571.3,270.2,"longCWD054"
"17,18","C3",0,0,370,4.35,14.2,434316.5422,132392.872,132.392872,75,1650,0.035333333,792.9,241.7,"longCWD055"
"17,22","C1",0,0,234,2.85,10.3,362973.4739,239670.6774,239.6706774,150,640,0.041,261.7,172.8,"longCWD056"
"17,23","C1",0,0,345,18.18181818,9.2,624394.0468,97906.8,97.9068,165,3580,0.061333333,491.7,77.1,"longCWD057"
"17,23","C2",0,1,280,1.25,28.3,688043.8388,459075.9509,459.0759509,134,1850,0.043666667,663.8,442.9,"longCWD058"
"20,08","C1",0,1,409,2.4,54.8,722476.5943,417012.2635,417.0122635,130,5305,0.055888889,824.5,475.9,"longCWD059"
"20,09","C1",1,1,579,1.1,132,794906.5983,501493.6681,501.4936681,46,8930,0.042666667,832.8,525.4,"longCWD060"
"20,19","C1",0,1,375,4.4,49,699728.7582,443893.4142,443.8934142,48,3950,0.051111111,659.7,418.5,"longCWD061"
"20,24","C1",0,0,1273,0.15,NA,NA,NA,NA,138,NA,0,NA,NA,"longCWD062"
"20,24","C2",0,0,358,16.66666667,17.9,510394.4712,177461.2,177.4612,20,1400,0.02725,329.6,114.6,"longCWD063"
"23,03","C1",0,0,264,2.7,15,685068.3433,273206.6376,273.2066376,120,2250,0.06,317.2,126.5,"longCWD064"
"23,05","C1",0,0,206,2.25,6.3,750094.625,188372.1796,188.3721796,115,1500,0.06,309.4,77.7,"longCWD065"
"23,05","C2",0,0,285,9,10.5,482322.3696,164436.4039,164.4364039,100,2000,0.065,263.4,89.8,"longCWD066"
"23,05","C3",0,0,267,11.11111111,4.9,439637.3574,87757.4,87.7574,110,1600,0.065,258.5,51.6,"longCWD067"
"23,05","C4",0,0,232,28.57142857,7.1,640673.308,168040.6,168.0406,15,1300,0.048,217.7,57.1,"longCWD068"
"23,12","C1",0,0,282,5.2,6.7,461849.1878,107764.8105,107.7648105,105,1500,0.052,549,128.1,"longCWD069"
"23,13","C1",0,0,780,6.8,82,627830.6806,171701.5189,171.7015189,74,13500,0.045,1586.2,433.8,"longCWD070"
"23,13","C2",0,0,362,3.25,15.3,588441.7132,149047.5912,149.0475912,11,4300,0.071,516.4,130.8,"longCWD071"
"23,19","C1",0,0,397,3,34.1,590249.9846,275202.6438,275.2026438,94,4530,0.062,365.9,170.6,"longCWD072"
"23,23","C1",0,0,408,4.55,13.9,581133.6675,106532.6087,106.5326087,145,3400,0.04475,678.6,124.4,"longCWD073"
"26,02","C1",0,0,425,1.25,69.6,739016.7681,490927.4504,490.9274504,172,6500,0.062,633.3,420.7,"longCWD074"
"26,03","C1",0,1,216,3.7,12.3,997916.6409,335043.209,335.043209,17,2450,0.067,276.7,92.9,"longCWD075"
"26,03","C2",0,1,285,2.85,28.1,751563.9663,440855.9342,440.8559342,170,3500,0.073,374.2,219.5,"longCWD076"
"26,03","C3",0,1,245,3.6,18.9,976860.9945,400783.2855,400.7832855,25,3500,0.076,379.5,155.7,"longCWD077"
"26,06","C1",0,0,240,0.55,30.2,866857.7207,667934.3265,667.9343265,137,2000,0.051,464.1,357.6,"longCWD078"
"26,09","C1",0,1,218,3.85,17.5,899105.5467,468638.5394,468.6385394,115,1980,0.059,433.4,225.9,"longCWD079"
"26,11","C1",0,1,901,2.75,NA,NA,NA,NA,60,NA,0,NA,NA,"longCWD080"
"26,14","C1",0,0,427,4.5,46,750433.8733,321122.8928,321.1228928,105,7200,0.067,348.9,149.3,"longCWD081"
"26,15","C1",0,0,335,200,4.4,193387.9716,49928.6,49.9286,70,1500,0.088,339.3,87.6,"longCWD082"
"26,15","C2",0,0,320,3.1,37.2,879943.9382,462268.7218,462.2687218,1,4600,0.065,339.4,178.3,"longCWD083"
"26,18","C1",0,0,447,0.45,36.1,364130.7792,229822.5418,229.8225418,54,4000,0.07,260,164.1,"longCWD084"
"29,09","C1",0,0,630,2.9,70.6,287518.6993,226467.7666,226.4677666,140,5400,0.06025,322.6,254.1,"longCWD085"
"29,09","C2",0,0,592,1.35,95,503848.6576,345163.649,345.163649,133,9500,0.0685,424.2,290.6,"longCWD086"
"29,10","C1",0,0,687,3.35,66,373147.8659,178138.7184,178.1387184,85,7500,0.054222222,802.9,383.3,"longCWD087"
"29,11","C1",0,1,223,200,6.2,543472.2982,159825.1,159.8251,20,1500,0.070666667,324.4,95.4,"longCWD088"
"29,11","C2",0,1,249,3.45,21.8,880106.0491,446682.3948,446.6823948,35,2000,0.046666667,577.5,293.1,"longCWD089"
"29,19","C1",0,1,484,2,20.6,338193.5183,112024.0947,112.0240947,25,3500,0.05625,589.9,195.4,"longCWD090"
"29,21","C1",0,0,956,100,21.1,81819.3218,29349.1,29.3491,60,3700,0.063,593.8,213,"longCWD091"
"32,01","C1",0,0,680,40,31.8,331808.3011,87687.4,87.6874,90,7200,0.05975,846.1,223.6,"longCWD092"
"32,02","C1",0,0,333,2.05,22.6,546767.5398,259085.1304,259.0851304,128,2000,0.042,351.8,166.7,"longCWD093"
"32,04","C1",0,1,214,2.05,17.3,748047.7588,479846.1372,479.8461372,110,1500,0.05575,420.6,269.8,"longCWD094"
"32,04","C2",0,1,392,0.5,16.8,348878.9266,139178.898,139.178898,105,2400,0.057,486.8,194.2,"longCWD095"
"32,09","C1",0,1,310,1.6,58.1,1188706.269,770336.6164,770.3366164,80,3200,0.035666667,726.8,471,"longCWD096"
"32,12","C1",0,1,201,1.85,19.9,1260603.074,625649.0478,625.6490478,85,2000,0.05,284.5,141.2,"longCWD097"
"32,13","C1",0,1,230,1.6,17.3,695965.9026,417329.2691,417.3292691,76,1200,0.0415,667.4,400.2,"longCWD098"
"32,19","C1",0,0,549,0.4,46,287157.6039,194469.9646,194.4699646,135,4500,0.0662,808.3,547.4,"longCWD099"
"35,03","C1",0,0,236,1.45,21.5,752121.6531,491635.4569,491.6354569,100,1900,0.05775,466.6,305,"longCWD100"
"35,03","C2",0,0,231,1.2,20.3,726200.8112,484621.491,484.621491,67,1400,0.046,347.5,231.9,"longCWD101"
"35,05","C1",0,0,285,66.66666667,6.5,519967.0423,101793.9,101.7939,50,1700,0.05125,387.7,75.9,"longCWD102"
"35,05","C2",0,0,304,6.5,12.7,637836.7924,174924.1505,174.9241505,50,2500,0.054,431,118.2,"longCWD103"
"35,05","C3",0,0,1674,3.85,196.5,265807.0606,89299.82643,89.29982643,105,82900,0.14170579,6466,2172.3,"longCWD104"
"35,06","C1",0,0,610,4.35,61.8,607659.1567,211534.1781,211.5341781,100,10300,0.058,636,221.4,"longCWD105"
"35,13","C1",0,0,206,2.8,3.9,465174.9612,118341.1653,118.3411653,135,1000,0.0645,340.8,86.7,"longCWD106"
"35,15","C1",0,0,541,1.25,149.7,865724.8607,651196.3375,651.1963375,55,10000,0.05025,910,684.5,"longCWD107"
"38,15","C1",0,1,278,2.75,10.5,541935.1371,172815.2295,172.8152295,75,1250,0.038,64.6,20.6,"longCWD108"
"38,15","C2",0,1,355,2.95,33.8,797611.5559,341897.8751,341.8978751,44,3000,0.038,531.2,227.7,"longCWD109"
"38,15","C3",0,1,237,2.35,13.4,627291.4175,304641.1231,304.6411231,64,1100,0.03975,372.7,181,"longCWD110"
"38,17","C1",0,0,278,6.3,13.7,562555.1082,226472.7585,226.4727585,140,1400,0.041,418.8,168.6,"longCWD111"
"38,18","C1",0,0,404,20,9.1,198329.3564,70678.4,70.6784,102,1000,0.039333333,267.7,95.4,"longCWD112"
"41,06","C1",0,0,230,5.05,20.3,1159335.871,489261.0097,489.2610097,78,2300,0.04775,479.6,202.4,"longCWD113"
"41,06","C2",0,0,264,1.8,18.2,657665.6096,331904.5364,331.9045364,140,1500,0.041666667,417.5,210.7,"longCWD114"
"41,10","C1",0,1,243,6,11.5,845585.9492,248834.2141,248.8342141,55,1500,0.03825,375.5,110.5,"longCWD115"
"41,13","C1",0,0,203,15.38461538,5.7,283749.3291,176604.4,176.6044,63,300,0.032666667,76.8,47.8,"longCWD116"
"41,14","C1",0,0,237,3.75,11.5,647658.0219,260123.3914,260.1233914,30,1000,0.035,342.1,137.4,"longCWD117"
"41,14","C2",0,0,320,3.05,29.2,487607.4679,363692.7227,363.6927227,90,2000,0.051,496.6,370.4,"longCWD118"
"41,14","C3",0,0,259,2.55,17.6,499021.642,334279.8546,334.2798546,130,1400,0.05325,239.3,160.3,"longCWD119"
"41,14","C4",0,0,281,1.05,22.9,492364.2835,369546.87,369.54687,105,1000,0.03275,224.9,168.8,"longCWD120"
"41,17","C1",0,0,455,16.66666667,21.7,405506.248,133399.7,133.3997,110,3000,0.0455,565.4,186,"longCWD121"
"44,01","C1",0,0,305,14.28571429,12.9,749976.9882,176201.6,176.2016,60,2000,0.0365,418.4,98.3,"longCWD122"
"44,05","C1",0,0,348,7.2,20.3,535725.5164,213039.7229,213.0397229,90,2000,0.03925,351.3,139.7,"longCWD123"
"44,07","C1",0,1,1306,2.85,309.9,400757.1059,231301.3782,231.3013782,38,28580,0.053235964,2958.1,1707.3,"longCWD124"
"44,08","C1",0,0,308,2.3,50.6,1261103.758,679284.6936,679.2846936,40,3500,0.03725,720.7,388.2,"longCWD125"
"44,10","C1",0,1,468,3.2,55.5,704636.0051,322633.9846,322.6339846,120,5000,0.04125,833.2,381.5,"longCWD126"
"44,12","C1",0,0,300,1.8,17.4,435295.9385,245886.0067,245.8860067,54,1100,0.03575,313.7,177.2,"longCWD127"
"44,13","C1",0,1,503,2,81.8,782816.6272,411781.2163,411.7812163,150,6300,0.0405,724.3,381,"longCWD128"
"44,13","C2",0,0,382,6.4,20.3,521891.1784,177218.5627,177.2185627,125,3200,0.0535,358.1,121.6,"longCWD129"
"44,22","C1",0,0,434,0.65,76.7,831969.9817,518427.2484,518.4272484,100,4000,0.0325,515.3,321.1,"longCWD130"
"47,02","C1",0,0,399,200,4.5,197590.0464,35625.44305,35.62544305,75,1050,0.0425,233.5,42.1,"longCWD131"
"47,05","C1",0,0,575,4,29.5,235591.2812,113720.674,113.720674,84,2600,0.0425,809.4,390.7,"longCWD132"
"47,14","C1",0,0,387,1.2,4.7,116991.2326,39623.13107,39.62313107,135,500,0.036333333,193.1,65.4,"longCWD133"
"47,15","C1",0,1,289,2.4,22.8,706455.0666,346850.0997,346.8500997,126,1900,0.041,343.4,168.6,"longCWD134"
"47,15","C2",0,0,830,4.85,119.7,667059.6883,221170.8305,221.1708305,120,15700,0.0435,1071.9,355.4,"longCWD135"
"47,15","C3",0,0,472,6.35,42.5,782725.0013,242961.1999,242.9611999,50,6300,0.046,521.9,162,"longCWD136"
"47,19","C1",0,1,230,1.65,25.9,1137109.644,624563.659,624.563659,90,1500,0.03175,349.2,191.8,"longCWD137"
